"x","y"
45.1119,10.1809
46.2935,10.5415
40.1047,15.76
40.5145,15.3002
40.7887,15.9678
40.1896,9.15502
44.6994,8.68291
37.5878,13.4086
44.5704,9.65539
40.9206,14.7258
44.9294,9.20621
45.0768,9.19421
39.2318,8.62046
43.1911,11.4454
42.6494,12.1494
37.3357,14.3094
46.013,8.2335
45.9963,11.4786
42.2895,11.7979
39.4827,16.5089
42.7788,12.6849
40.6065,15.3325
39.8231,8.5283
37.1261,14.5842
45.4088,11.516
46.12,12.7676
43.4429,10.9092
41.8713,14.1155
43.5442,11.5522
39.3281,16.6549
40.7172,9.25696
44.5571,10.1359
41.612,15.2919
39.5971,9.12723
44.5387,7.6356
41.7285,15.7427
37.7967,14.4979
45.9134,9.66116
46.1321,9.40137
43.9623,11.4374
43.2569,12.851
42.0983,14.0251
45.7359,11.7171
40.0306,8.80084
44.8078,10.9319
37.3278,15.0943
45.1241,8.99869
43.4206,11.8071
40.1964,8.42129
42.99,14.027
38.1386,15.1047
45.6728,7.6827
39.0659,16.626
43.7493,11.8013
41.5814,15.2676
42.5683,12.0187
40.3246,9.22567
44.8102,9.02505
40.9886,15.944
45.4934,11.7624
41.5439,14.9045
44.7532,10.242
44.6779,11.1968
46.6544,10.8854
44.439,12.0569
41.2412,14.4898
45.8151,12.2845
40.9963,14.749
43.6054,11.4576
44.772,12.192
40.7202,14.8179
45.8941,9.08096
42.0728,14.2691
43.3802,13.6895
45.8298,9.2852
44.5291,7.42108
37.8384,14.8341
46.0093,10.998
40.8715,8.95719
45.0448,10.3844
46.5247,11.5977
40.7506,15.8433
41.9481,13.4848
40.9479,14.5108
45.8652,11.7706
40.535,9.61018
45.9135,12.7678
38.0435,12.9358
45.427,9.77411
40.9764,14.6583
37.8009,14.0914
42.7092,11.7068
41.8886,14.2342
46.1848,9.65566
44.2168,12.3343
38.0763,13.7189
41.8749,15.7145
44.9467,8.58292
42.4134,13.8934
42.3662,12.9755
39.4921,9.53923
37.19,14.5778
45.9477,8.49906
40.7035,9.47116
42.1254,11.9614
45.4266,8.05473
44.7452,11.3383
46.8754,11.0947
37.181,14.7603
40.0163,8.94597
44.0246,11.4417
45.9236,11.2839
45.876,8.1393
39.9601,8.34299
42.1267,12.5118
38.0746,14.2472
44.2832,10.1614
40.9521,15.3353
45.7094,9.15992
37.2977,14.7394
37.037,14.2092
42.2092,13.1558
43.8672,11.4386
44.9751,8.02726
46.5037,12.9639
39.7367,9.65937
40.3703,8.77515
41.9335,14.0201
44.7793,8.96729
44.9114,9.76047
44.0423,10.5689
44.8741,8.55431
38.2312,16.0235
37.4422,12.9934
43.4662,13.0486
37.7977,14.1114
41.4519,13.3859
45.7273,10.7543
37.9472,15.2755
41.8796,13.5426
46.3054,9.64412
45.0259,8.56699
46.3137,8.39367
40.6491,8.44161
41.1648,13.7777
41.3856,13.8905
41.237,15.0386
43.0186,12.2446
41.9012,16.0547
37.6266,14.9247
46.2394,12.4856
37.9162,13.6027
42.435,13.696
42.3955,14.3926
