"x","y"
57.7073,162.671
70.9501,142.645
65.9233,101.587
49.8721,137.879
61.8688,167.746
66.6618,158.802
57.0083,161.257
58.7726,33.2537
65.6107,129.359
73.5837,91.4264
62.5739,89.3579
53.5992,124.785
65.9122,115.834
64.8755,46.4684
72.3218,114.734
61.7594,136.885
68.8226,177.731
55.4745,106.767
61.4888,79.1454
63.6224,120.267
63.1983,173.19
61.9186,31.5762
51.9177,109.887
69.3552,144.637
64.4104,82.349
71.4503,79.5799
55.2484,90.8263
62.3927,65.2726
58.5359,159.512
59.4627,125.404
68.6081,91.0487
65.7449,116.017
66.2571,75.244
68.0874,94.0831
58.3965,46.0426
65.6437,86.6073
58.8075,94.8119
72.8159,86.0656
59.3714,48.3928
70.7126,154.025
56.2635,135.117
63.969,60.3938
58.1147,129.482
63.5086,119.679
69.4461,158.467
57.4304,161.103
51.4059,112.427
66.9393,118.968
57.2028,37.8289
68.4329,177.221
53.0134,87.6208
62.035,174.017
73.6815,93.7551
64.7171,138.626
50.3683,113.01
56.9424,93.9493
75.7297,94.6097
53.7533,91.0267
64.4996,53.5098
63.4428,137.906
52.9211,50.1611
68.0411,132.023
59.7492,147.942
47.1067,41.8554
53.6552,94.3622
66.4773,37.6527
62.9976,143.446
65.6503,95.3467
63.0501,81.7996
62.1265,113.489
61.7232,50.708
65.9413,148.234
65.7147,125.736
61.6521,67.3481
53.3399,87.8101
64.0462,66.3169
50.7862,46.5911
66.0353,-173.303
60.1685,94.1538
68.423,112.177
61.3988,85.5496
73.2667,107.463
70.3726,157.564
65.6566,162.041
70.8292,112.785
69.0793,177.15
66.1607,146.134
71.6532,89.5485
71.0013,121.671
69.8702,126.218
74.4786,105.095
63.8674,127.367
67.1766,97.5913
70.895,92.975
54.616,125.014
50.0634,137.581
69.202,173.744
60.9399,167.544
57.4304,69.5386
64.2416,117.718
65.6008,-176.49
62.6615,68.6169
67.8564,179.641
67.5543,173.351
71.1678,95.3559
51.9701,134.462
62.9169,33.4613
58.3787,48.5559
63.762,109.524
50.3922,128.805
71.0676,102.149
65.4833,81.459
65.2385,142.201
68.7791,169.819
57.2404,48.8725
69.8775,127.913
66.4279,74.813
66.2644,59.857
64.7057,165.742
63.7122,133.708
63.5918,110.109
56.7046,44.0284
68.4,82.5313
47.5116,45.5874
69.4309,98.3477
68.5166,105.099
65.1461,109.963
61.2429,168.845
50.1503,107.544
57.908,54.6791
55.2615,87.5055
67.3603,154.324
51.1555,85.039
71.0254,68.344
60.2108,133.531
63.7368,148.53
60.171,114.667
67.1114,145.508
68.3883,175.435
57.8238,131.559
56.3141,98.1697
58.4996,68.9764
69.3653,100.946
70.3982,118.506
55.9172,155.891
63.9829,142.641
62.5094,105.097
65.5556,58.0745
72.1545,70.7723
72.3042,124.045
70.2137,143.827
54.2875,79.7439
60.7087,57.1743
57.6505,84.7389
59.5784,148.778
58.4508,77.7588
67.1476,116.402
69.0433,92.271
60.5277,65.6723
61.1324,83.5379
54.7573,106.505
59.826,33.9943
67.0104,44.5572
63.1831,65.5173
62.7468,36.6308
51.307,117.196
53.0368,42.8216
61.0799,67.0059
64.9922,93.683
58.8216,131.76
65.5214,61.7634
57.7097,96.6683
61.0567,123.476
57.068,134.79
68.7817,141.522
49.2335,132.557
48.5268,131.979
68.4434,89.2219
68.569,73.2829
56.7151,133.292
70.3474,145.062
55.7514,85.1305
57.0111,88.9164
64.3483,63.1867
62.7193,74.6338
63.149,94.5415
54.9659,62.9917
52.2135,112.621
72.0342,82.8599
53.2248,139.759
60.6597,168.352
62.0071,67.7169
71.0466,98.062
74.1136,92.5159
62.0285,109.85
72.4094,111.179
62.5279,71.5592
53.9502,103.262
52.9614,134.424
53.2881,49.2454
62.4737,167
57.0647,50.5802
57.4606,81.1055
65.2884,134.627
50.2938,54.9837
65.3781,57.5982
67.4426,106.33
46.1578,133.618
62.5722,84.7896
59.1412,99.4236
63.5268,141.602
54.3577,119.518
46.1018,39.5981
58.9563,69.6035
64.1933,162.879
61.4585,122.028
72.131,121.574
62.8448,68.9153
61.0914,91.1558
61.2798,132.351
57.3098,67.3884
54.5597,43.8713
65.4583,142.504
65.0298,177.66
64.9392,47.7056
56.0924,156.343
63.8401,78.9353
57.5349,137.957
70.5005,130.133
56.6398,127.934
63.1281,36.9597
69.4711,144.13
57.581,84.3537
59.3083,84.2677
70.3735,117.047
74.5747,102.335
60.9558,82.762
65.6189,134.103
64.5885,149.412
62.8745,47.7647
70.2764,101.025
69.8562,79.3331
68.5894,132.151
73.6748,104.015
66.617,175.544
52.1994,130.526
60.9612,51.4444
73.4083,91.7079
58.4992,77.8818
64.5265,33.4519
72.7352,124.642
74.3013,96.6482
54.1691,84.5481
70.2714,92.388
62.2249,174.074
51.3383,108.404
75.8054,113.744
61.5798,101.199
64.2747,131.612
67.1123,167.641
53.636,79.2592
65.9145,94.0131
66.5028,147.849
61.9685,50.0653
62.5977,170.495
59.4442,30.2023
67.3871,134.99
56.7896,106.103
56.1025,98.0204
52.3636,78.2298
72.3378,109.871
62.081,162.886
75.3083,103.899
61.6179,40.1241
53.5061,38.6787
71.0256,82.4322
67.4532,163.33
75.7878,60.9574
64.7219,62.0096
62.3108,73.3184
69.9633,90.6464
68.4025,179.913
65.384,129.072
62.3542,109.318
61.5445,48.5279
60.6171,41.9069
63.9211,95.4239
66.9467,176.394
52.7759,119.775
68.0498,159.54
65.2799,144.57
69.3124,121.773
68.8518,92.9085
66.2458,-174.051
65.0492,139.213
53.9101,131.987
74.1234,105.312
75.5664,110.954
63.5856,58.8804
49.0349,138.914
65.3812,91.152
59.7294,31.9358
53.1973,60.6536
71.0872,114.348
56.8298,106.305
52.88,112.277
71.1675,145.672
67.4091,165.003
69.5679,135.059
55.1803,93.4927
51.9364,51.9732
67.8275,96.9321
54.9995,20.5124
60.7514,128.271
55.9362,47.0386
61.0367,42.2027
66.1178,56.9508
64.4767,83.5459
68.76,98.788
46.6572,134.861
64.5251,112.998
66.937,158.734
53.1463,128.849
48.8581,44.7571
44.9288,41.9114
61.0311,67.3532
53.3676,103.031
69.5428,153.53
64.8698,135.16
53.8996,110.493
50.293,86.0049
69.2753,177.106
65.885,170.903
63.3606,166.809
60.0451,108.264
59.2107,61.4305
48.564,131.728
71.8204,53.0575
76.2694,110.375
66.7657,151.647
70.7875,133.876
61.5728,57.9982
49.5324,132.585
75.4184,109.719
66.3109,171.364
69.2553,152.113
54.2039,65.4323
68.3853,-178.131
54.2056,102.836
67.6465,78.4218
70.1284,88.4323
72.2275,86.127
63.6973,148.314
76.3504,103.484
56.1403,133.773
76.4416,103.37
64.1527,148.964
63.33,116.207
75.3416,110.58
61.3095,172.423
54.5118,98.6736
67.5307,117.274
53.0586,44.5946
60.7771,42.841
67.5893,142.448
69.1608,161.221
69.6508,127.366
52.6004,129.459
68.9119,96.1276
50.8645,89.3829
49.9147,130.842
69.3068,160.452
67.7159,132.176
65.9106,65.7101
58.5821,91.7845
69.4465,159.471
65.4718,43.993
55.5103,91.8375
58.9331,53.1395
65.5711,145.073
62.9035,115.503
56.3123,107.888
56.6424,87.6532
52.3158,120.273
43.9983,134.982
61.9134,43.6371
65.8335,34.0448
66.8812,153.485
66.88,178.064
56.783,75.3625
48.7143,136.454
68.3762,85.8169
58.1702,57.0918
61.403,102.726
68.2414,98.1498
64.2229,149.162
63.9821,137.276
59.5586,86.1047
55.8031,93.2496
67.5089,69.5817
68.071,117.157
66.673,108.323
68.4384,70.9677
60.8511,143.827
63.5868,108.288
64.6684,63.5715
72.5102,102.392
63.5061,84.4929
65.3353,41.384
58.8844,53.1992
63.7596,41.6456
71.5655,117.084
68.4022,177.644
55.2576,35.3842
64.641,107.83
53.5308,131.003
50.5149,139.763
65.3286,163.472
59.1686,139.214
65.9675,146.53
69.6031,142.52
66.8813,147.352
61.9449,164.58
54.4247,33.0314
64.9926,59.1939
63.4907,136.168
61.2857,79.027
54.2789,135.963
63.8611,116.18
66.3036,58.6551
53.411,81.8816
66.9091,116.318
53.8465,46.541
54.2829,51.2908
63.8012,143.168
69.3079,125.153
61.7975,70.3815
62.1167,149.586
52.7419,80.332
73.6712,107.001
69.9571,109.068
57.6248,62.3623
54.6045,117.591
71.7897,144.161
65.5273,125.558
63.3659,145.217
50.8442,97.7873
65.4052,49.931
69.8615,86.9135
62.435,173.25
52.5669,133.872
66.9258,147.869
70.7421,136.258
59.7921,129.897
66.3165,166.852
60.9402,50.2859
74.0108,93.9171
66.7729,124.798
74.2409,56.5547
79.2086,99.0572
56.3313,136.594
51.2538,40.7364
55.9182,127.633
51.7385,112.783
61.4964,95.3219
67.6625,148.953
60.5513,47.2018
69.6859,91.5428
68.9034,133.142
51.2724,101.666
53.3877,131.637
70.9411,140.465
66.8117,36.4242
58.6343,29.1912
64.8403,104.353
70.1481,104.718
76.1556,102.616
69.4738,142.768
63.6284,99.0419
68.4688,109.603
72.0911,114.189
57.7275,59.8312
61.372,83.2631
70.9846,122.713
67.9644,176.452
59.3291,72.4302
70.5571,141.021
72.0112,75.3083
67.3486,104.236
63.6209,152.588
59.778,153.741
58.6284,101.968
74.2486,93.6443
61.6576,109.625
66.565,106.583
50.0374,40.1179
65.7159,115.759
63.7224,104.384
72.0171,75.1076
67.3028,113.434
63.992,96.8484
52.5734,100.385
64.4406,79.1954
70.0581,115.958
61.5364,68.8689
61.3356,88.2674
61.7738,32.4387
56.0495,122.942
65.8048,34.6088
63.4248,102.385
57.8622,45.457
52.8411,33.0082
57.542,85.7609
50.2366,44.5325
61.0303,77.1362
58.9439,91.1444
61.4516,55.2351
53.5945,122.278
56.7379,69.8323
44.5228,42.8191
55.9993,66.7387
57.5589,102.462
61.5606,37.2326
74.9438,87.9
67.8993,153.855
63.1501,158.695
62.8694,103.481
55.907,131.548
60.2792,101.045
57.9278,161.512
64.1448,114.221
60.6794,88.8555
64.3611,109.63
60.8772,136.663
56.263,95.603
65.6458,95.3421
66.0769,32.7724
61.1634,100.767
74.4035,56.0562
56.9013,44.8982
72.2822,114.592
60.1341,140.445
43.2835,132.012
67.7481,84.3601
56.885,89.9999
55.7367,44.4108
51.2388,128.523
63.0049,62.446
52.1588,78.1444
61.2981,53.1835
51.9883,156.933
48.909,140.035
71.2827,140.18
52.0159,116.978
55.1765,39.3857
63.0509,107.583
56.0431,70.9447
75.787,62.7116
48.6511,86.6983
59.102,57.5786
68.4635,145.837
65.6141,159.899
67.7391,88.7123
62.1709,151.887
48.4247,44.2181
75.8098,140.999
67.1144,175.862
67.0365,140.722
60.8237,52.4637
67.2482,127.157
62.9208,80.1348
50.9668,114.78
60.5097,133.795
58.1893,118.681
58.9264,122.49
60.9294,46.5957
65.8075,165.893
62.5584,99.6771
64.913,59.0771
61.1927,97.2922
